country,country_code,year,exports_pct_gdp,gdp_growth_pct,gdp_per_capita_usd,gdp_usd,imports_pct_gdp,inflation_pct,trade_pct_gdp
Croatia,HRV,2004,36.5616861872098,4.17048487309191,0.00971897322801967,41836.292157333504,45.082726473124,2.05539679050328,81.6444126603338
Croatia,HRV,2005,36.4026517230106,4.32707652205913,0.0104435278353294,45013.119281806,45.0896838484012,3.31717824448045,81.4923355714118
Croatia,HRV,2006,37.540364852706,5.0814659040727,0.011502753124287,49590.197656548204,45.9655144650503,3.18982591472949,83.5058793177563
Croatia,HRV,2007,37.4609320830429,5.04888620876034,0.013757605654192,59298.2657699946,45.7905446403689,2.89928275583388,83.2514767234118
Croatia,HRV,2008,35.9718745586299,1.96859009281911,0.0158894347074759,68478.77620598259,46.1001068950213,6.07696838798354,82.0719814536512
Croatia,HRV,2009,32.0980940206514,0.0,0.0144759632928725,62321.6421251721,37.5971499037889,2.37852845904674,69.6952439244403
Croatia,HRV,2010,35.4994545153643,0.0,0.0137312865213989,58981.738868753,37.1392023480675,1.03055505333574,72.6386568634317
Croatia,HRV,2011,38.0429216191801,0.0,0.0146949993201417,62903.7373797834,39.722817073075,2.2727272727273,77.7657386922551
Croatia,HRV,2012,38.7012180240299,0.0,0.0135086836989693,57551.9637532104,40.3010489406869,3.41207349081358,79.0022669647168
Croatia,HRV,2013,39.4653163386115,0.0,0.0141363967669505,59852.4012723204,41.445201034724,2.21658206429779,80.9105173733355
Croatia,HRV,2014,42.4134929086938,0.0,0.014187969453149301,59612.1440784133,42.7956840393101,0.0,85.2091769480039
Croatia,HRV,2015,45.4254911892461,2.32317515803855,0.0122853032582105,51005.2006696941,45.2154499097051,0.0,90.6409410989512
Croatia,HRV,2016,46.6165483632852,3.46112947356767,0.0128211738140304,52654.8556381057,45.5142407228836,0.0,92.1307890861689
Croatia,HRV,2017,48.9133105322268,3.28095812140658,0.0139026310485422,56186.1904379959,48.3080208721937,1.12937210282347,97.2213314044204
Croatia,HRV,2018,49.1092106291889,2.90468149344008,0.0154604183295843,61668.1301225878,49.9586073447811,1.50012501041756,99.06781797397
Croatia,HRV,2019,50.4892350523665,3.10043911443758,0.0155638167397199,61467.58219368241,50.8927782779613,0.771820346498019,101.382013330328
Croatia,HRV,2020,41.2770315838174,0.0,0.014808462018881901,57963.37088507981,48.2564222170774,0.154811374562106,89.5334538008947
Croatia,HRV,2021,49.7797053734111,12.6317003277712,0.0177899304736722,69006.8022986956,52.5287254424248,2.55450699642041,102.308430815836
Croatia,HRV,2022,59.4969715136887,7.28793643206565,0.018466095547264798,71198.6351019514,65.7168860772854,10.7805806758686,125.213857590974
Croatia,HRV,2023,52.9341592859634,3.30254488086325,0.0218654562838641,84393.7955024421,54.7667601446359,7.9412817758683,107.700919430599
Croatia,HRV,2024,49.7993080704898,3.81494521667429,0.023931452838274598,92526.176108621,52.9169106188281,2.97200477643618,102.716218689318
France,FRA,2000,29.7580489893129,4.14099996402915,0.0223405939516217,1360959.06947749,28.0279980425069,1.67595988720927,57.7860470318197
France,FRA,2001,29.4306035099419,1.89946701186636,0.0223317948343036,1370376.6772988602,27.4626293461303,1.63478079549601,56.8932328560722
France,FRA,2002,28.7307017592768,1.06775027069419,0.0241445727019529,1492427.75638243,26.4018230910334,1.9234122872706,55.1325248503102
France,FRA,2003,27.1369676673944,0.967827182558352,0.029479522210117497,1835095.98304909,25.4619146196714,2.09847219146923,52.5988822870657
France,FRA,2004,27.5381038597962,2.86825052501032,0.033644928222036394,2109792.29723703,26.2116609694066,2.14208964640241,53.7497648292028
France,FRA,2005,28.1635565257399,1.88856584109286,0.0346963718316971,2192146.40302817,27.65927959839,1.74586936380482,55.8228361241299
France,FRA,2006,28.9278484836141,2.71406448755236,0.03643156589065551,2317861.54469082,28.9414290456532,1.67512449608723,57.8692775292673
France,FRA,2007,28.8585344688926,2.53048188351066,0.0414861907828787,2655816.91186656,29.2940266620733,1.4879980595386,58.1525611309659
France,FRA,2008,29.1990596782502,0.380171435849121,0.0454648181385158,2926802.9415858597,29.9807331629246,2.81286194914787,59.1797928411748
France,FRA,2009,25.8809482311608,0.0,0.0417280884164132,2700075.88251898,26.3181640716005,0.0876204781574552,52.1991123027613
France,FRA,2010,27.8264880915553,2.00032476039051,0.0406948211697025,2646230.02798834,28.7610671562408,1.53112270420926,56.587555247796
France,FRA,2011,29.538847336075,2.43757653729007,0.0439297840873812,2870408.55399028,31.0667881455656,2.11159795174994,60.6056354816406
France,FRA,2012,30.3556786527444,0.183835264973013,0.040863581441233296,2683007.09578723,31.3032784243658,1.9541953161351,61.6589570771102
France,FRA,2013,30.5912853427773,0.781756446231,0.0426691795111893,2816077.6078752596,31.2279485306189,0.863715497861805,61.8192338733962
France,FRA,2014,30.741812901515,0.997832947295251,0.043148045928841604,2861236.11255242,31.4574540364356,0.50775882293799,62.1992669379507
France,FRA,2015,31.6934947262689,1.06675474783462,0.036702432373337895,2442483.4526425,31.8111924693795,0.0375143805125182,63.5046871956484
France,FRA,2016,31.498210070063,0.860031075424033,0.0370242157133669,2470407.61977713,31.8445463682721,0.18333486112386,63.3427564383351
France,FRA,2017,32.311834044929,2.08361485997399,0.0386871626407164,2588868.3233347097,33.0840141110421,1.03228275064662,65.3958481559711
France,FRA,2018,32.9179818922164,1.64590872395887,0.0414181766484844,2781576.3208843903,33.8842788890102,1.85081508315502,66.8022607812266
France,FRA,2019,32.8895593910847,2.02744646419237,0.040408284857475094,2722793.5151717598,33.5394177830602,1.10825492288294,66.4289771741449
France,FRA,2020,28.5572228192655,0.0,0.0391698606000707,2647926.05511005,30.2816679047993,0.476498852725066,58.8388907240647
France,FRA,2021,31.2880499332105,6.88233783360239,0.0437250999521245,2966433.6920080897,32.5004326976615,1.64233141038385,63.788482630872
France,FRA,2022,36.5036688904078,2.57084047567793,0.0410828119320747,2796302.21039884,39.2864747207143,5.22236748369735,75.7901436111221
France,FRA,2023,34.2800305804742,0.936487518850853,0.0446909345395117,3051831.6113847597,36.279524212719,4.87835726508441,70.5595547931931
France,FRA,2024,33.2440842472123,1.16613851497229,0.0461504876861593,3162079.0734957797,33.9788865095979,1.99904942291463,67.2229707568101
Germany,DEU,2000,29.6806532498145,2.87724595591061,0.0239258559901991,1966980.7011451002,29.5149460477259,1.44026838719741,59.1955992975405
Germany,DEU,2001,30.5604113813066,1.63654099437316,0.0238783641471651,1966381.49664173,28.9988749869052,1.98385731334471,59.5592863682118
Germany,DEU,2002,31.1904504893495,0.0,0.025486594200874797,2102350.79830589,27.1421182354634,1.42080615551526,58.3325687248129
Germany,DEU,2003,31.2678451095809,0.0,0.0307111022511331,2534715.5183490096,27.6466991846698,1.03422218628562,58.9145442942507
Germany,DEU,2004,33.9352126434777,1.16236825444811,0.0345667359143735,2852317.76806178,28.9712783030388,1.66573696655992,62.9064909465164
Germany,DEU,2005,35.9531497908166,0.885697256705441,0.0350844363546269,2893393.18736187,30.9999527026155,1.54691114751328,66.9531024934321
Germany,DEU,2006,38.9694499171537,3.85573614635729,0.0369803349948954,3046308.75367058,33.7897435474697,1.57742642840563,72.7591934646234
Germany,DEU,2007,40.6368056265783,2.89010717888073,0.042350921721148904,3484056.68085491,34.2470360551014,2.29834400700951,74.8838416816798
Germany,DEU,2008,40.9425488863489,0.910403214153277,0.0463863295924799,3808786.0223125,35.1588613264959,2.62837981637219,76.1014102128448
Germany,DEU,2009,35.4417264226192,0.0,0.042487213710149595,3479800.82086328,30.6735421084064,0.312739007368447,66.1152685310257
Germany,DEU,2010,39.4832687323685,4.14676755040489,0.0424099356994694,3468154.3430000097,34.3793720327515,1.1038103778926,73.8626407651201
Germany,DEU,2011,41.6299889730367,3.75796884487347,0.047646582043142996,3824828.5635214103,36.777324487501,2.07517283735874,78.4073134605377
Germany,DEU,2012,42.6688163749205,0.47429132103845,0.044735588231970096,3597896.50094531,36.6316714160221,2.00848884782956,79.3004877909427
Germany,DEU,2013,41.6686546134315,0.386224592046474,0.047220010209885095,3808086.2914823596,35.8957269607433,1.50472330251876,77.5643815741748
Germany,DEU,2014,41.6838906996921,2.16949889758517,0.0489710824722599,3965800.6863097902,35.1464405712237,0.906794000434246,76.8303312709159
Germany,DEU,2015,42.6044431481211,1.65271978656361,0.0419110109851054,3423568.4509570296,35.1869136162559,0.514426137125456,77.791356764377
Germany,DEU,2016,41.6238177033957,2.29471066413561,0.0429610356905775,3537784.10798055,34.3607698108013,0.491747008445174,75.9845875141969
Germany,DEU,2017,42.3259814296135,2.71602454639843,0.0455265999576533,3763092.2637529504,35.24065551723,1.50949485109628,77.5666369468435
Germany,DEU,2018,42.6073917339186,1.11644310902427,0.0488748595028454,4052008.4472235297,36.6202679583694,1.73216879766942,79.227659692288
Germany,DEU,2019,42.3863044855837,0.987893350164853,0.0476238656074829,3957208.05521568,36.747442628887,1.44565976888253,79.1337471144706
Germany,DEU,2020,39.1691838521344,0.0,0.047379765194548,3940142.5413541,33.824073376198,0.144877925813982,72.9932572283324
Germany,DEU,2021,42.6575836538409,3.6699998840452,0.0522656541620571,4348297.440387529,37.4990343972191,3.06666666666673,80.15661805106
Germany,DEU,2022,45.7805177232318,1.36973104612758,0.049686115458258295,4163596.35787939,43.2836096462941,6.87257438551097,89.0641273695259
Germany,DEU,2023,43.4023485563427,0.0,0.0539404073447462,4525703.903627531,39.3967578932279,5.94643667725823,82.7991064495705
Germany,DEU,2024,42.1002680442064,0.0,0.0558002194549412,4659929.33689062,38.2444033577531,2.2564981433876,80.3446714019595
India,IND,2000,12.9972363113479,3.84099115659129,0.000442750218937263,468395.521654458,13.9036865990995,4.0094359104519,26.9009229104474
India,IND,2001,12.5583796339108,4.82396626555771,0.000450357900514128,485440.139204171,13.4348751195257,3.77929312235637,25.9932547534365
India,IND,2002,14.2643839243147,3.80397532112175,0.000469149928973927,514939.140318756,15.2442790107467,4.29715203929563,29.5086629350614
India,IND,2003,14.9479138581734,7.8603814759073,0.000544143133545002,607700.687237318,15.6445222747346,3.80585899528851,30.592436132908
India,IND,2004,17.8591249630479,7.92293661199932,0.000624258826510066,709152.728830775,19.6446890963991,3.76725173477515,37.503814059447
India,IND,2005,19.6052466948335,7.92343062148318,0.000710488080408949,820383.7635114449,22.3964229200356,4.24634362031922,42.0016696148691
India,IND,2006,21.2679414221966,8.06073257166651,0.000801668353659022,940259.8887877209,24.4565390770687,5.79652337561634,45.7244804992652
India,IND,2007,20.7996997489032,7.6608150670107,0.0010218870770682602,1216736.4388349599,24.8865689304448,6.37288135593231,45.686268679348
India,IND,2008,24.0973572601391,3.08669805921981,0.000992519584923828,1198895.13900592,29.2708631790835,8.34926704907581,53.3682204392226
India,IND,2009,20.4005193743564,7.86188883286074,0.00109494974598436,1341888.0169948998,25.8723502685274,10.8823529411764,46.2728696428837
India,IND,2010,22.4009332487945,8.49758470221235,0.00134751939071367,1675615.51948496,26.8542732486216,11.9893899204244,49.2552064974161
India,IND,2011,24.5404113195713,5.24131619937695,0.00144546127486037,1823051.8298945501,31.0834686939585,8.91179336483371,55.6238800135298
India,IND,2012,24.534430661418,5.45638755166587,0.00142932199520032,1827637.59041041,31.2592910673332,9.47899691419801,55.7937217287511
India,IND,2013,25.430861300519,6.38610640094825,0.00143284397512195,1856721.50762158,28.4132706461587,10.0178784746102,53.8441319466777
India,IND,2014,22.9679630081172,7.41022760508854,0.00155388396075118,2039126.47915452,25.9542227389497,6.66565671867899,48.9221857470669
India,IND,2015,19.8131891564045,7.99625378571471,0.00158399815907985,2103588.36004494,22.1097247094602,4.90697344127256,41.9229138658647
India,IND,2016,19.1582349105946,8.25630550179086,0.00170750892912243,2294796.88566316,20.9242508026814,4.94821634062141,40.082485713276
India,IND,2017,18.7917648392982,6.79538341897911,0.0019501046828086601,2651474.2627554503,21.9507321152243,3.32817337461298,40.7424969545225
India,IND,2018,19.9278285988562,6.45385134497769,0.00196625455171679,2702929.64164874,23.6891407335327,3.9388264669163,43.6169693323889
India,IND,2019,18.664264897257,3.87143694070356,0.00204142863698585,2835606.25655819,21.2411386333872,3.72950573539129,39.9054035306442
India,IND,2020,18.6824769296756,0.0,0.00190704251637669,2674851.57858727,19.0756283996012,6.62343677628535,37.7581053292768
India,IND,2021,21.3991583305515,9.68959249192875,0.0022396138436748202,3167270.62326047,24.0239304534931,5.13140747176369,45.4230887840446
India,IND,2022,23.2515412045298,7.60936497768895,0.00234744829434623,3346107.2877309304,26.8237289453584,6.69903414079852,50.0752701498882
India,IND,2023,21.4486977833541,9.19075493028345,0.00253012031278204,3638489.09603386,23.544144504402,5.64914318907925,44.9928422877561
