Country,Year,Current_account_balance_pct_of_GDP,External_debt_stocks_pct_of_GNI,Foreign_direct_investment_net_inflows_pct_of_GDP
Afghanistan,2000.0,-2.35799044700136,13.7928583731895,0.0048276006173403
Afghanistan,2001.0,-2.35799044700136,13.7928583731895,0.0241685679088889
Afghanistan,2002.0,-2.35799044700136,13.7928583731895,1.30694987042884
Afghanistan,2003.0,-2.35799044700136,13.7928583731895,1.27849325196424
Afghanistan,2004.0,-2.35799044700136,13.7928583731895,3.577104200584
Afghanistan,2005.0,-2.35799044700136,13.7928583731895,4.36867310434287
Afghanistan,2006.0,-2.35799044700136,13.7928583731895,3.41377297323201
Afghanistan,2007.0,-2.35799044700136,20.4806758495246,1.93570171391636
Afghanistan,2008.0,-2.35799044700136,21.2121323521857,0.45536044478174
Afghanistan,2009.0,2.23601941932175,20.0367248536922,0.45188914562189
Afghanistan,2010.0,-3.64331388234628,15.3334973971382,1.20311798981139
Afghanistan,2011.0,-12.6195382087159,13.9770517017747,0.293025179616803
Afghanistan,2012.0,-25.8706814974751,12.9281604362278,0.285440893554571
Afghanistan,2013.0,-25.290058564309,12.8048363659593,0.239801184405551
Afghanistan,2014.0,-15.7724198274304,12.3049882693651,0.209664794672203
Afghanistan,2015.0,-21.9126573355151,13.4908301094464,0.88400046336123
Afghanistan,2016.0,-14.9501951919169,14.1470450360055,0.516606084523093
Afghanistan,2017.0,-18.9559612272258,14.5133427404056,0.274796791572807
Afghanistan,2018.0,-21.5852741164653,14.6424246657516,0.661572217787196
Afghanistan,2019.0,-20.1704643881064,13.9496520351375,0.124495985291258
Afghanistan,2020.0,-15.7183027911684,15.1208585304773,0.0649939571808755
Afghanistan,2021.0,-15.7183027911684,24.7857399527695,0.144466946606861
Afghanistan,2022.0,-15.7183027911684,23.3368489769108,0.144466946606861
Afghanistan,2023.0,-15.7183027911684,19.7980988255309,0.144466946606861
Argentina,2000.0,-3.15992237703676,54.2417099417586,3.66579059535379
Argentina,2001.0,-1.40694788500181,58.4932935172091,0.806164134759348
Argentina,2002.0,8.97078467784247,159.890183546743,2.19895819502207
Argentina,2003.0,6.37990680177011,133.474955613907,1.29481086883944
Argentina,2004.0,1.95058324319273,114.783966038451,2.5050175164097
Argentina,2005.0,2.65363142179073,74.2469415660219,2.64935441452167
Argentina,2006.0,2.79449564264943,52.8779757006235,2.38106854489628
Argentina,2007.0,2.1036160391819,43.1501917496034,2.25129423568361
Argentina,2008.0,1.49940141614234,36.7970755463574,2.68990096507093
Argentina,2009.0,2.1785669619099,41.4244681423918,1.20643922647566
Argentina,2010.0,-0.383118699737133,30.9493567310993,2.67516171886537
Argentina,2011.0,-1.00728084144866,27.7443463568229,2.04465997872008
Argentina,2012.0,-0.39159512386959,26.2398392717053,2.80667189982932
Argentina,2013.0,-2.37749566620574,27.809883508059,1.77920553648531
Argentina,2014.0,-1.74400211981355,30.3338678915012,0.962406650325519
Argentina,2015.0,-2.96292666513534,32.2082949986265,1.97713461784426
Argentina,2016.0,-2.70922168361454,35.1613251074643,0.584748941173009
Argentina,2017.0,-4.83995921807391,37.7365221801036,1.78936504083807
Argentina,2018.0,-5.16055257152295,58.6307152401281,2.23253157689253
Argentina,2019.0,-0.779998447561848,69.5902998339522,1.48500687570697
Argentina,2020.0,0.696935361136031,73.3926445591354,1.26616924308721
Argentina,2021.0,1.36154422203441,55.9476971135758,1.36838083162438
Argentina,2022.0,-0.640820188045601,42.9676924073569,2.402155349277
Argentina,2023.0,-3.24351254822954,42.0664911888795,3.69401868015696
Argentina,2024.0,0.992524625340439,42.0664911888795,1.80507987944047
Australia,2000.0,-3.72140115832283,19.4905310721105,3.57859921888914
Australia,2001.0,-2.1038782912626,19.4905310721105,2.82305214676613
Australia,2002.0,-4.04312576822906,19.4905310721105,3.70306730541189
Australia,2003.0,-6.26582917008026,19.4905310721105,1.92099536209977
Australia,2004.0,-6.71703905379547,19.4905310721105,6.98071685334312
Australia,2005.0,-6.23018337430444,19.4905310721105,-3.60692792508377
Australia,2006.0,-6.18497324085113,19.4905310721105,4.08209296205439
Australia,2007.0,-7.56503658273096,19.4905310721105,5.19771793687634
Australia,2008.0,-4.88206185813593,19.4905310721105,4.2770159784301
Australia,2009.0,-5.23144486271866,19.4905310721105,3.11521892910031
Australia,2010.0,-4.00506862277956,19.4905310721105,3.0948394339821
Australia,2011.0,-3.26400930085158,19.4905310721105,4.68881515477357
Australia,2012.0,-4.44404469042498,19.4905310721105,3.72019933653419
Australia,2013.0,-3.25799888383102,19.4905310721105,3.45392766613526
Australia,2014.0,-3.09266163288854,19.4905310721105,4.3047066438758
Australia,2015.0,-4.31257611103591,19.4905310721105,3.47020901785018
Australia,2016.0,-3.61631218807461,19.4905310721105,3.56056595221134
Australia,2017.0,-3.00161155039194,19.4905310721105,3.63608951454838
Australia,2018.0,-2.56116066582786,19.4905310721105,4.25033304779982
Australia,2019.0,-0.0207105142276052,19.4905310721105,2.78196787472132
Australia,2020.0,1.87433748291951,19.4905310721105,1.35325605506287
Australia,2021.0,2.61066078948374,19.4905310721105,2.0246819461122
Australia,2022.0,0.337521409077969,19.4905310721105,4.16149504206489
Australia,2023.0,-0.300085449771847,19.4905310721105,1.87959171930092
Australia,2024.0,-1.96335074906626,19.4905310721105,3.15202919801842
Bangladesh,2000.0,-0.57304266329964,28.312285791779,0.525362089236089
Bangladesh,2001.0,-0.991687231894649,26.9258696430478,0.145443904569924
Bangladesh,2002.0,1.35086830489484,29.3237754107195,0.0955793676464671
