Country,Year,Area Code (M49)_x,Element Code_x,Year Code_x,Value_x,Area Code (M49)_y,Element Code_y,Item Code,Year Code_y,Value_y,Magnitude,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Current_account_balance_pct_of_GDP,External_debt_stocks_pct_of_GNI,Foreign_direct_investment_net_inflows_pct_of_GDP
Afghanistan,2010.0,4.0,5410.038461538462,2010.0,555650.1929120879,4.0,529.6,3010.0,2010.0,17074268.8,48522.92,4.2,11.6,2010.0,4.4,8.0,70.0,40.0,9000.0,9240.0,0.0,0.0,69.51329329,-3.64331388234628,15.3334973971382,1.20311798981139
Afghanistan,2011.0,4.0,5410.038461538462,2011.0,564828.6662087912,4.0,529.6,3010.0,2011.0,17680802.8,15834.25,2.5,5.25,2011.0,4.25,9.5,20.75,28.75,438250.0,440703.75,35500.0,49506.5,71.70772361,-12.6195382087159,13.9770517017747,0.293025179616803
Afghanistan,2012.0,4.0,5410.038461538462,2012.0,563957.2908791208,4.0,529.6,3010.0,2012.0,18363405.2,3263.972727272727,3.909090909090909,14.727272727272727,2012.0,3.909090909090909,15.363636363636363,34.54545454545455,39.81818181818182,4669.0,4982.909090909091,0.0,0.0,73.19159161,-25.8706814974751,12.9281604362278,0.285440893554571
Afghanistan,2013.0,4.0,5410.038461538462,2013.0,550641.1489010989,4.0,529.6,3010.0,2013.0,18995419.2,2443.1616666666664,5.833333333333333,12.333333333333334,2013.0,5.833333333333333,15.666666666666666,25.833333333333332,23.833333333333332,3580.8333333333335,3604.6666666666665,0.0,0.0,74.26372907,-25.290058564309,12.8048363659593,0.239801184405551
Afghanistan,2014.0,4.0,5410.589189189189,2014.0,560433.6638918918,4.0,529.6,3010.0,2014.0,19668613.2,42641.78,4.0,9.333333333333334,2014.0,4.333333333333333,6.333333333333333,191.66666666666666,45.0,46673.333333333336,47351.666666666664,1000.0,1325.0,75.46845568,-15.7724198274304,12.3049882693651,0.209664794672203
Afghanistan,2015.0,4.0,5410.596774193548,2015.0,549185.9644086021,4.0,529.6,3010.0,2015.0,20280004.4,1.9714285714285715,5.285714285714286,19.714285714285715,2015.0,5.428571428571429,17.857142857142858,63.714285714285715,8310.57142857143,3796.4285714285716,18549.85714285714,428.57142857142856,567.1428571428571,75.55797677,-21.9126573355151,13.4908301094464,0.88400046336123
Afghanistan,2016.0,4.0,5410.608465608466,2016.0,541003.3768253968,4.0,529.6,3010.0,2016.0,20811451.4,0.0,5.0,11.5,2016.0,5.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,76.5112162,-14.9501951919169,14.1470450360055,0.516606084523093
Afghanistan,2017.0,4.0,5410.608465608466,2017.0,543777.0769841269,4.0,529.6,3010.0,2017.0,21381590.2,0.0,2.8,13.6,2017.0,2.8,14.2,45.2,9.0,1909.0,2248.0,0.0,0.0,78.14100176,-18.9559612272258,14.5133427404056,0.274796791572807
Afghanistan,2018.0,4.0,5410.608465608466,2018.0,530959.4437566138,4.0,529.6,3010.0,2018.0,21971850.8,36879.38,5.8,10.4,2018.2,6.4,14.6,22.6,0.0,2700800.0,2700800.0,0.0,0.0,80.04959626,-21.5852741164653,14.6424246657516,0.661572217787196
Afghanistan,2019.0,4.0,5410.608465608466,2019.0,550403.8051851852,4.0,529.6,3010.0,2019.0,22584249.8,82085.14857142858,4.714285714285714,14.285714285714286,2019.0,4.857142857142857,13.714285714285714,30.142857142857142,2.4285714285714284,17592.85714285714,18706.0,0.0,0.0,81.50030941,-20.1704643881064,13.9496520351375,0.124495985291258
Afghanistan,2020.0,4.0,5410.608465608466,2020.0,551856.2651322752,4.0,529.6,3010.0,2020.0,23238579.6,0.0,4.285714285714286,17.714285714285715,2020.0,4.714285714285714,10.857142857142858,46.857142857142854,35.857142857142854,6134.428571428572,7402.428571428572,0.0,0.0,82.50568385,-15.7183027911684,15.1208585304773,0.0649939571808755
Afghanistan,2021.0,4.0,5410.608465608466,2021.0,545181.6440740741,4.0,529.6,3010.0,2021.0,23782906.2,2821.6,4.0,8.5,2021.5,5.0,9.75,99.0,8.25,2758750.0,2758758.25,0.0,0.0,86.38165694,-15.7183027911684,24.7857399527695,0.144466946606861
