Country,Year,Area Code (M49),Element Code,Year Code,Value
Afghanistan,2000,4.0,5410.038461538462,2000.0,530370.4446153847
Afghanistan,2001,4.0,5410.038461538462,2001.0,456848.12884615385
Afghanistan,2002,4.0,5410.038461538462,2002.0,435439.38972527476
Afghanistan,2003,4.0,5410.038461538462,2003.0,448847.4203296703
Afghanistan,2004,4.0,5410.038461538462,2004.0,464561.29181318684
Afghanistan,2005,4.0,5410.038461538462,2005.0,482754.9962637362
Afghanistan,2006,4.0,5410.038461538462,2006.0,441923.5164835165
Afghanistan,2007,4.0,5410.038461538462,2007.0,425927.78005494503
Afghanistan,2008,4.0,5410.038461538462,2008.0,474392.7983516483
Afghanistan,2009,4.0,5410.038461538462,2009.0,509099.7335164835
Afghanistan,2010,4.0,5410.038461538462,2010.0,555650.1929120879
Afghanistan,2011,4.0,5410.038461538462,2011.0,564828.6662087912
Afghanistan,2012,4.0,5410.038461538462,2012.0,563957.2908791208
Afghanistan,2013,4.0,5410.038461538462,2013.0,550641.1489010989
Afghanistan,2014,4.0,5410.589189189189,2014.0,560433.6638918918
Afghanistan,2015,4.0,5410.596774193548,2015.0,549185.9644086021
Afghanistan,2016,4.0,5410.608465608466,2016.0,541003.3768253968
Afghanistan,2017,4.0,5410.608465608466,2017.0,543777.0769841269
Afghanistan,2018,4.0,5410.608465608466,2018.0,530959.4437566138
Afghanistan,2019,4.0,5410.608465608466,2019.0,550403.8051851852
Afghanistan,2020,4.0,5410.608465608466,2020.0,551856.2651322752
Afghanistan,2021,4.0,5410.608465608466,2021.0,545181.6440740741
Afghanistan,2022,4.0,5410.619791666667,2022.0,532417.5165104166
Afghanistan,2023,4.0,5401.585227272727,2023.0,574621.4073295455
Argentina,2000,32.0,5410.299401197605,2000.0,949194.5049700597
Argentina,2001,32.0,5410.299401197605,2001.0,947048.1858982035
Argentina,2002,32.0,5410.299401197605,2002.0,950714.9463173653
Argentina,2003,32.0,5410.299401197605,2003.0,998676.495
Argentina,2004,32.0,5410.299401197605,2004.0,1023556.4214371258
Argentina,2005,32.0,5410.57057057057,2005.0,1113152.0202102102
Argentina,2006,32.0,5410.57057057057,2006.0,1102112.1475975974
Argentina,2007,32.0,5410.57057057057,2007.0,1175765.1382282283
Argentina,2008,32.0,5410.57057057057,2008.0,1189112.1912612612
Argentina,2009,32.0,5410.57057057057,2009.0,1079988.8097297298
Argentina,2010,32.0,5410.868263473054,2010.0,1096128.9813772454
Argentina,2011,32.0,5410.868263473054,2011.0,1132237.262724551
Argentina,2012,32.0,5410.5970149253735,2012.0,1094873.9476716416
Argentina,2013,32.0,5410.5970149253735,2013.0,1169015.964955224
Argentina,2014,32.0,5410.892857142857,2014.0,1170219.8673511904
Argentina,2015,32.0,5410.892857142857,2015.0,1222933.943422619
Argentina,2016,32.0,5410.941176470588,2016.0,1202954.1564705882
Argentina,2017,32.0,5410.976608187135,2017.0,1254943.5744736842
Argentina,2018,32.0,5410.976608187135,2018.0,1203654.3936842105
Argentina,2019,32.0,5410.68804664723,2019.0,1306152.3953644314
Argentina,2020,32.0,5410.68804664723,2020.0,1293920.1670262392
Argentina,2021,32.0,5410.68804664723,2021.0,1275039.7837026238
Argentina,2022,32.0,5410.68804664723,2022.0,1284041.793702624
Argentina,2023,32.0,5401.169329073482,2023.0,1212598.3025239618
Australia,2000,36.0,5413.028901734104,2000.0,1397223.4283236994
Australia,2001,36.0,5413.025936599423,2001.0,1369629.5510086454
